District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Put-In-Bay Local,2581440.8600000003,Ottawa,95.2,61268.0,16.0,0.0,17.0,17.0,100.0,11.0,64.7,87.0,85.0,97.7,85.0,97.7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.5,0.0,,,,,
Antwerp Local,7921497.72,Paulding,96.3,49603.0,15.0,0.0,47.0,47.0,100.0,34.0,73.4,313.0,310.0,99.0,310.0,99.9,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,35.5,0.0,0.0,9.2,9.2,0.0,0.0,0.4,0.4,16.0,16.0,2.0,2.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.34,0.0,0.0,0.0,0.0,1.0,0.0
Wayne Trace Local,11229121.82,Paulding,96.2,49714.0,13.0,0.0,67.0,67.0,100.0,37.0,55.8,367.0,358.0,97.5,353.0,96.2,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,1.0,1.0,12.2,12.2,10.0,10.0,0.77,0.77,2.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.453125,0.515625,0.0,0.0,0.0,0.66666666,0.33333333,0.0
Northern Local,22778794.1,Perry,94.5,57044.0,15.0,1.0,135.0,135.0,100.0,101.0,75.0,721.0,688.0,95.4,688.0,95.4,0.0,0.0,1.0,1.0,3.0,1.35772684,3.5,1.58401465,1.0,0.45257561,0.0,0.0,6.0,2.71545368,0.0,0.0,0.0,0.0,0.0,0.0,101.82,46.081249,3.0,1.35772684,21.42,9.69416966,15.02,6.79768573,1.0,0.45257561,3.0,1.35772684,6.0,2.71545368,8.0,3.62060491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454,0.43939393,0.50757575,0.00757575,0.0,0.0,0.42857142,0.57142857,0.0
Southern Local,9427379.469999999,Columbiana,95.3,31665.0,15.0,1.0,86.0,85.0,98.8,31.0,35.7,247.0,247.0,100.0,244.0,98.8,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,0.6,0.6,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,55.95,55.95,1.0,1.0,14.06,14.06,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.06896551,0.86206896,0.06896551,0.0,0.0,0.0,1.0,0.0
Southern Local,9427379.469999999,Meigs,93.0,38734.0,11.0,0.0,56.0,54.0,96.4,17.0,30.6,308.0,308.0,100.0,308.0,100.0,0.0,0.0,1.0,1.0,4.25,4.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,2.0,2.0,4.0,4.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.01886792,0.33962264,0.64150943,0.0,0.0,0.0,0.0,1.0,0.0
Southern Local,9427379.469999999,Perry,94.9,49978.0,15.0,0.0,51.0,51.0,100.0,27.0,53.2,220.0,220.0,100.0,220.0,100.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34,37.34,2.0,2.0,8.22,8.22,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.02040816,0.0,0.57142857,0.40816326,0.0,0.0,0.0,0.5,0.5,0.0
Logan Elm Local,18619127.57,Pickaway,94.2,51587.0,13.0,2.0,122.0,122.0,100.0,97.0,79.4,487.0,487.0,100.0,485.0,99.6,0.0,0.0,1.0,1.0,4.0,2.31900037,1.0,0.57975009,0.0,0.0,0.0,0.0,3.0,1.73925027,0.0,0.0,0.0,0.0,0.0,0.0,88.5,51.3078831,0.0,0.0,24.0,13.9140022,20.0,11.5950018,1.0,0.57975009,4.0,2.31900037,4.0,2.31900037,5.0,2.89875046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28448275,0.69827586,0.01724137,0.0,0.0,0.0,0.83333333,0.16666666
Teays Valley Local,36621254.730000004,Pickaway,94.8,63695.0,14.0,2.0,221.0,220.0,99.5,143.0,64.7,806.0,805.0,99.9,805.0,99.9,0.0,0.0,1.0,1.0,7.0,1.80489988,3.0,0.77352852,0.0,0.0,0.0,0.0,5.0,1.2892142,0.0,0.0,0.0,0.0,0.0,0.0,168.5,43.4465186,2.0,0.51568568,36.25,9.34680298,0.0,0.0,3.0,0.77352852,2.0,0.51568568,8.0,2.06274272,8.5,2.19166414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02272727,0.32272727,0.63636363,0.01818181,0.0,0.0,0.45454545,0.54545454,0.0
Westfall Local,15736435.65,Pickaway,95.6,50868.0,11.0,2.0,93.0,93.0,100.0,50.0,53.5,450.0,409.0,90.9,408.0,90.7,0.0,0.0,1.0,1.0,3.0,2.22045378,1.0,0.74015126,0.0,0.0,0.0,0.0,2.0,1.48030252,0.0,0.0,0.0,0.0,0.0,0.0,68.5,50.7003613,0.0,0.0,15.0,11.1022689,17.0,12.5825714,2.0,1.48030252,3.0,2.22045378,3.0,2.22045378,4.0,2.96060504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01010101,0.45454545,0.53535353,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Eastern Local School District,10918949.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scioto Valley Local,15478674.69,Pike,95.3,58940.0,12.0,0.0,79.0,79.0,99.4,37.0,46.9,326.0,314.0,96.3,314.0,96.3,0.0,0.0,1.0,1.0,3.0,2.45535395,0.0,0.0,1.0,0.81845131,1.0,0.81845131,1.0,0.81845131,0.0,0.0,0.0,0.0,0.0,0.0,62.0,50.7439817,1.0,0.81845131,10.55,8.6346614,11.82,9.67409458,1.5,1.22767697,6.0,4.91070791,2.0,1.63690263,4.0,3.27380527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03797468,0.31645569,0.62025316,0.02531645,0.0,0.0,1.0,0.0,0.0
Waverly City,18004935.43,Pike,94.4,54555.0,10.0,0.0,103.0,103.0,99.9,53.0,51.2,482.0,457.0,94.8,457.0,94.8,0.0,0.0,1.0,1.0,3.0,1.65660038,2.0,1.10440025,1.0,0.55220012,0.0,0.0,3.0,1.65660038,0.0,0.0,0.0,0.0,0.0,0.0,81.0,44.7282103,1.0,0.55220012,14.7,8.11734187,1.0,0.55220012,1.0,0.55220012,4.0,2.20880051,3.0,1.65660038,5.0,2.76100063,0.0,0.0,0.0,0.0,1.0,0.55220012,0.0,0.02884615,0.45192307,0.45192307,0.06730769,0.0,0.0,0.0,1.0,0.0
Western Local,10162028.43,Pike,93.9,56977.0,13.0,0.0,37.0,37.0,100.0,21.0,55.4,265.0,262.0,98.9,262.0,98.9,0.0,0.0,1.0,0.75,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,2.5,2.5,2.0,2.0,0.5,0.5,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01960784,0.66666666,0.29411764,0.01960784,0.0,0.0,0.66666666,0.33333333,0.0
Aurora City,34148935.38,Portage,95.5,78810.0,18.0,14.0,171.0,171.0,100.0,155.0,90.9,712.0,708.0,99.4,708.0,99.4,0.0,0.0,1.0,1.0,7.0,2.40596105,1.0,0.34370872,3.0,1.03112616,0.0,0.0,2.0,0.68741744,0.0,0.0,1.63,0.56024521,0.0,0.0,128.26,44.0840807,2.0,0.68741744,7.71,2.64999425,0.0,0.0,2.0,0.68741744,6.0,2.06225233,8.0,2.74966978,8.14,2.797789,0.7,0.2405961,0.0,0.0,4.21,1.44701372,0.0,0.0,0.10555555,0.88888888,0.00555555,0.0,0.0,0.66666666,0.33333333,0.0
Crestwood Local,19843703.85,Portage,95.9,53114.0,13.0,1.0,120.0,118.0,98.3,67.0,56.3,520.0,519.0,99.8,519.0,99.8,0.0,0.0,1.0,1.0,6.0,3.4385676,3.0,1.7192838,2.0,1.1461892,0.0,0.0,2.94,1.68489812,0.0,0.0,3.73,2.13764286,0.0,0.0,77.83,44.6039527,1.0,0.5730946,29.42,16.8604431,26.96,15.4506304,1.0,0.5730946,6.53,3.74230774,6.58,3.77096247,7.0,4.0116622,0.0,0.0,0.0,0.0,3.0,1.7192838,0.0,0.00869565,0.32173913,0.66956521,0.0,0.0,0.0,0.16666666,0.66666666,0.16666666
Field Local,18126088.47,Portage,95.4,55855.0,12.0,1.0,122.0,122.0,100.0,75.0,61.5,616.0,609.0,98.9,593.0,96.3,0.0,0.0,1.0,1.0,2.0,0.99892784,0.0,0.0,2.0,0.99892784,0.0,0.0,1.5,0.74919588,0.0,0.0,0.0,0.0,0.0,0.0,94.26,47.0794693,0.0,0.0,20.13,10.0542087,14.88,7.43202317,1.0,0.49946392,5.0,2.49731961,4.67,2.33249652,7.0,3.49624746,0.0,0.0,0.0,0.0,2.0,0.99892784,0.0,0.02479338,0.79338843,0.18181818,0.0,0.0,0.0,0.57142857,0.42857142,0.0
James A Garfield Local,14045202.739999998,Portage,95.2,57196.0,16.0,0.0,90.0,90.0,100.0,61.0,68.6,402.0,402.0,100.0,402.0,100.0,0.0,0.0,1.0,1.0,3.0,2.11187442,1.0,0.70395814,2.0,1.40791628,0.0,0.0,3.72,2.61872428,0.0,0.0,0.0,0.0,0.0,0.0,64.14,45.1518752,0.0,0.0,12.82,9.02474337,0.0,0.0,1.15,0.80955186,3.0,2.11187442,2.0,1.40791628,3.0,2.11187442,0.0,0.0,0.0,0.0,1.0,0.70395814,0.0,0.0,0.25,0.7375,0.0125,0.0,0.0,0.0,1.0,0.0
Rootstown Local,11545359.19,Portage,94.3,53520.0,11.0,0.0,80.0,80.0,100.0,43.0,54.2,457.0,448.0,98.0,448.0,99.8,0.0,0.0,1.0,1.0,3.0,2.48522318,0.0,0.0,1.5,1.24261159,0.0,0.0,3.0,2.48522318,0.0,0.0,0.0,0.0,0.0,0.0,52.0,43.0772017,1.0,0.82840772,9.4,7.78703263,0.0,0.0,0.0,0.0,4.0,3.3136309,3.0,2.48522318,5.0,4.14203863,0.0,0.0,0.0,0.0,1.0,0.82840772,0.0,0.02702702,0.52702702,0.44594594,0.0,0.0,0.0,0.33333333,0.66666666,0.0
Southeast Local,18947709.68,Portage,95.6,48026.0,11.0,0.0,118.0,118.0,100.0,80.0,68.2,560.0,547.0,97.7,532.0,99.5,0.0,0.0,1.0,1.0,4.0,2.55929347,1.0,0.63982336,1.5,0.95973505,0.0,0.0,3.0,1.9194701,0.0,0.0,0.0,0.0,0.0,0.0,75.0,47.9867525,2.0,1.27964673,30.23,19.3418604,0.0,0.0,1.0,0.63982336,5.0,3.19911683,5.0,3.19911683,6.0,3.8389402,0.0,0.0,0.0,0.0,3.0,1.9194701,0.0,0.0,0.15094339,0.83962264,0.00943396,0.0,0.0,0.33333333,0.66666666,0.0
Southeast Local,18947709.68,Wayne,96.2,53998.0,16.0,1.0,102.0,102.0,100.0,62.0,60.5,521.0,521.0,100.0,521.0,100.0,0.0,0.0,1.0,1.0,4.0,2.81546438,1.1,0.7742527,1.0,0.70386609,0.0,0.0,1.0,0.70386609,0.0,0.0,0.0,0.0,0.0,0.0,76.98,54.1836121,2.0,1.40773219,14.8,10.4172182,1.1,0.7742527,1.0,0.70386609,3.4,2.39314472,3.4,2.39314472,5.8,4.08242335,0.0,0.0,0.0,0.0,2.0,1.40773219,0.0,0.0,0.36607142,0.63392857,0.0,0.0,0.0,0.42857142,0.42857142,0.14285714
Streetsboro City,22629898.16,Portage,94.8,63258.0,12.0,2.0,137.0,137.0,100.0,91.0,66.4,449.0,449.0,100.0,449.0,100.0,0.0,0.0,1.0,1.0,4.0,1.84527886,0.0,0.0,2.0,0.92263943,0.0,0.0,5.5,2.53725843,0.0,0.0,0.0,0.0,0.0,0.0,104.0,47.9772504,0.0,0.0,22.13,10.2090053,19.43,8.96344208,2.0,0.92263943,4.0,1.84527886,5.0,2.30659858,6.0,2.76791829,0.0,0.0,0.0,0.0,1.0,0.46131971,0.0,0.0,0.88636363,0.09848484,0.01515151,0.0,0.0,1.0,0.0,0.0
