District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Triway Local,18219687.35,Wayne,3205 Shreve Rd,"Wooster, OH, 44691-4439",Nathan G. Schindewolf,94.41900000000001,89.91300000000001,95.205,78.7,C,1.2,7.9,14.0,30.0,26.400000000000002,20.2,0.3,112.831,94.0,3.0,0.0,0.6,7.2,20.5,65.7,3.0
Edgerton Local,5966223.58,Williams,111 E River St,"Edgerton, OH, 43517-9623",Kermit E. Riehle,95.748,93.82900000000001,96.62400000000001,79.8,C,0.2,8.2,13.1,29.900000000000002,27.900000000000002,20.5,0.2,116.531,97.10000000000001,0.0,0.0,0.0,5.1000000000000005,25.5,68.4,1.0
Edon Northwest Local,6074462.32,Williams,802 W Indiana St,"Edon, OH, 43518-9627",Anthony J. Stevens,94.23400000000001,93.677,100.302,78.5,C,0.0,9.3,15.700000000000001,26.6,28.0,19.1,1.3,115.345,96.10000000000001,0.0,0.9,0.0,4.3,38.800000000000004,47.4,8.6
Millcreek-West Unity Local,6031045.32,Williams,1401 W Jackson St,"West Unity, OH, 43570-9465",Larry E. Long,86.346,86.301,86.26700000000001,72.0,C,0.7000000000000001,14.4,20.1,28.8,21.0,14.8,0.2,117.94900000000001,98.3,0.0,0.0,0.0,5.1000000000000005,15.4,74.4,5.1000000000000005
North Central Local,6721477.949999999,Williams,400 E Baubice St,"Pioneer, OH, 43554-9637",William D. Hanak,91.60000000000001,86.188,93.753,76.3,C,0.0,10.8,17.400000000000002,28.400000000000002,25.8,17.6,0.0,115.8,96.5,0.0,0.0,0.0,6.0,30.0,64.0,0.0
Stryker Local,4507378.64,Williams,400 S Defiance St,"Stryker, OH, 43557-9307",Nate R. Johnson,91.521,86.26100000000001,95.875,76.3,C,0.0,10.0,19.2,28.3,23.1,19.400000000000002,0.0,114.0,95.0,0.0,1.1,0.0,11.1,27.8,60.0,0.0
Eastwood Local,15967049.459999999,Wood,4800 Sugar Ridge Rd,"Pemberville, OH, 43450-9626",William B. Welker,97.932,95.46300000000001,99.691,81.60000000000001,B,0.1,7.5,12.1,26.6,26.7,26.3,0.6,116.709,97.3,0.0,0.0,1.0,5.1000000000000005,20.8,69.3,3.8000000000000003
Elmwood Local,13034785.82,Wood,7650 Jerry City Rd,"Bloomdale, OH, 44817-9763",Tony D. Borton,91.38,85.73400000000001,92.563,76.10000000000001,C,0.4,9.1,18.900000000000002,31.2,23.5,16.9,0.0,113.233,94.4,0.0,0.0,1.5,14.3,30.1,54.1,0.0
Lake Local,15045645.87,Stark,436 King Church Ave SW,"Uniontown, OH, 44685-8220",Kevin T. Tobin,101.84700000000001,98.88300000000001,101.893,84.9,B,0.1,4.6000000000000005,10.0,25.5,28.6,30.400000000000002,0.7000000000000001,117.766,98.10000000000001,0.0,0.2,0.2,3.0,16.9,76.5,3.2
Lake Local,15045645.87,Wood,28090 Lemoyne Rd,"Millbury, OH, 43447-9747",James T. Witt,86.693,86.637,98.664,72.2,C,0.3,13.200000000000001,20.5,33.1,21.6,11.200000000000001,0.1,114.69200000000001,95.60000000000001,0.0,0.0,0.8,10.0,30.8,56.2,2.3000000000000003
North Baltimore Local,8373557.640000001,Wood,201 S Main St,"North Baltimore, OH, 45872-1354",Ryan G. Delaney,85.65100000000001,83.85600000000001,93.004,71.4,C,0.2,14.200000000000001,20.900000000000002,33.6,20.8,10.200000000000001,0.1,111.277,92.7,2.1,0.0,2.1,17.0,17.0,59.6,2.1
Northwood Local Schools,10944546.0,Wood,500 Lemoyne Rd,"Northwood, OH, 43619-1810",Gregory A. Clark,82.60900000000001,76.641,88.62,68.8,D,0.0,18.5,21.900000000000002,28.3,20.2,10.3,0.8,112.941,94.10000000000001,0.0,1.0,4.9,6.9,30.400000000000002,45.1,11.8
Otsego Local,14551328.629999999,Wood,18505 Tontogany Creek Rd Ste 1,"Bowling Green, OH, 43402-0290",Adam E. Koch,86.644,84.29100000000001,84.00200000000001,72.2,C,0.5,15.5,17.1,31.2,22.3,13.3,0.0,113.025,94.2,0.0,0.0,0.6,14.200000000000001,37.7,47.5,0.0
Mohawk Local,9559565.530000001,Wyandot,295 State Highway 231,"Sycamore, OH, 44882-9434",Kenneth D. Ratliff,89.813,87.015,90.393,74.8,C,0.2,11.3,19.2,31.1,21.3,16.1,0.9,115.513,96.3,0.0,0.0,1.3,9.0,25.6,57.7,6.4
Adams County Ohio Valley Local,42367885.19,Adams,141 Lloyd Rd,"West Union, OH, 45693-8974",Richard A. Seas,80.128,77.851,84.153,66.8,D,0.4,21.3,21.8,26.7,18.2,11.6,0.1,112.662,93.9,0.0,0.5,2.1,15.700000000000001,25.7,55.6,0.5
College Corner Local,307135.61,,,,,,,,,,,,,,,,,,,,,,,,,
Gallia County Local,27694678.77,Gallia,4836 State Route 325,"Patriot, OH, 45658-8960",Jude E. Meyers,81.185,78.946,82.411,67.7,D,0.6,19.2,21.8,28.3,21.2,8.8,0.1,106.7,88.9,1.7,1.0,5.0,18.0,39.300000000000004,33.7,1.3
East Guernsey Local,12658196.77,Guernsey,PO Box 128,"Old Washington, OH, 43768-0128",Adam M. Pittis,84.186,78.852,87.74900000000001,70.2,C,1.0,17.1,19.400000000000002,26.8,22.8,12.3,0.6,112.786,94.0,0.0,0.7000000000000001,2.1,13.6,29.3,50.7,3.6
Tri-County North Local,9003085.05,Preble,436 N Commerce St,"Lewisburg, OH, 45338-0040",William K. Derringer,83.903,78.589,90.888,69.9,D,0.0,17.1,21.900000000000002,27.900000000000002,20.2,12.4,0.5,114.242,95.2,0.0,1.2,0.6,6.7,33.9,53.300000000000004,4.2
Monroe Local,22095497.31,Butler,500 Yankee Rd,"Monroe, OH, 45050-1068",Philip F. Cagwin,95.66,91.717,95.58200000000001,79.7,C,0.2,8.9,13.3,27.6,25.6,24.0,0.3,115.805,96.5,0.0,0.3,1.6,5.8,21.6,67.5,3.2
