District,OperatingExpenditures,County,Address,City and Zip,Superintendent,Performance Index Score 2016-17,Performance Index Score 2015-16,Performance Index Score 2014-15,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus
Tuslaw Local,11646720.969999999,Stark,1835 Manchester Ave NW,"Massillon, OH, 44647-9623",Melissa M. Marconi,95.56700000000001,90.474,98.527,79.60000000000001,C,0.0,7.2,15.5,29.1,28.1,19.7,0.4,114.66,95.60000000000001,0.0,0.0,1.0,11.200000000000001,29.1,54.9,3.9
Woodridge Local,24874762.91,Summit,4411 Quick Rd,"Peninsula, OH, 44264-9706",Walter C. Davis,89.729,87.00500000000001,93.357,74.8,C,0.4,13.0,16.5,28.6,25.5,15.9,0.1,110.84,92.4,1.1,0.5,2.7,12.700000000000001,32.8,49.300000000000004,0.8
Copley-Fairlawn City,32479150.77,Summit,3797 Ridgewood Rd,"Copley, OH, 44321-1665",Brian E. Poe,97.23700000000001,96.876,101.941,81.0,B,0.2,8.2,12.1,25.5,27.7,26.1,0.1,114.95500000000001,95.8,0.0,0.3,1.3,7.9,24.8,64.8,0.9
Coventry Local,18805027.259999998,Summit,2910 S Main St,"Akron, OH, 44319-1849",Russell A. Chaboudy,88.95700000000001,87.14500000000001,95.937,74.10000000000001,C,0.1,12.0,20.1,28.900000000000002,22.900000000000002,15.4,0.6,117.40700000000001,97.8,0.0,0.7000000000000001,0.0,5.2,15.6,71.9,6.7
Manchester Local,13705251.66,Adams,130 Wayne Frye Dr,"Manchester, OH, 45144-9314",Brian E. Rau,87.185,82.759,86.028,72.7,C,0.0,14.3,19.2,31.3,21.8,13.4,0.0,113.673,94.7,0.0,0.0,2.0,10.200000000000001,30.6,57.1,0.0
Manchester Local,13705251.66,Summit,6075 Manchester Rd,"Akron, OH, 44319-4654",James E. Robinson,97.74600000000001,96.908,103.82000000000001,81.5,B,0.3,6.4,13.3,27.1,27.900000000000002,24.5,0.5,113.56500000000001,94.60000000000001,0.0,0.9,0.9,13.3,27.2,54.7,3.0
Green Local,37693094.07,Scioto,4070 Gallia Pike,"Franklin Furnace, OH, 45629-8889",Jodi B. Armstrong,75.94200000000001,72.897,81.62,63.300000000000004,D,0.0,25.6,23.2,27.8,14.9,8.4,0.0,113.182,94.3,0.0,0.0,4.5,9.1,22.7,63.6,0.0
Green Local,37693094.07,Summit,PO Box 218,"Green, OH, 44232-0218",Jeffrey L. Miller II,99.54100000000001,96.34700000000001,101.933,83.0,B,0.0,6.4,11.3,26.2,28.400000000000002,26.3,1.4000000000000001,117.59100000000001,98.0,0.0,0.2,0.4,3.9,19.8,67.5,8.1
Green Local,37693094.07,Wayne,PO Box 438,"Smithville, OH, 44677-0438",Dean E. Frank,95.132,89.97500000000001,86.82000000000001,79.3,C,0.0,8.9,14.5,28.5,24.400000000000002,23.3,0.3,115.756,96.5,0.0,0.0,0.4,9.200000000000001,23.5,64.7,2.1
Hudson City,59212402.19,Summit,2400 Hudson Aurora Rd,"Hudson, OH, 44236-2322",Phillip T. Herman,104.03800000000001,102.726,104.262,86.7,B,0.9,2.9,8.2,22.1,30.6,33.5,1.8,116.158,96.8,0.6,0.1,0.4,5.5,23.400000000000002,64.0,6.0
