District,OperatingExpenditures,County Name,Teachers Attendance Rate 2016-17,Average Teacher Salary,Average Years of Teacher Experience,Lead/Senior Professional Teachers,Average Number of Full Time Teachers,Teacher FTE Who Have At Least a Bachelors,% of Teachers Who Have At Least a Bachelors,Teacher FTE Who Have At Least a Masters,% of Teachers Who Have At Least a Masters,Total # of Core Courses,# of Core Courses Taught by a Properly Certified Teacher,% of Core Courses Taught by a Properly Certified Teacher,# of Core Courses Taught by a Highly Qualified Teacher,% of Core Courses Taught  by a Highly Qualified Teacher,# of Core Courses Taught by Teacher with a Temporary Certificate,% Core Courses w/ Temp Qual Tchr,% of Principals with at least Bachelors,% Principals at least Masters,# of School Counselors,# of School Counselors per 1000 Stdnts,# of School Nurses,# of School Nurses /per 1000 Stdnts,School Psychologist FTE,School Psychologist per 1000 Stdnts,Interpreter FTE,# of Interpreters per 1000 Stdnts,Library / Media Specialist FTE,# of Lib/Media Specialists per 1000 Stdnts,Audiologist FTE,# of Audiologists  per 1000 Stdnts,Physical/Occupational Therapists FTE,# of Physical/Occupational Therapists per 1000 Studnets,# of Social Workers,# of Social Workers per 1000 Stdnts,# of General Education Teachers,General Education Teachers FTE per 1000 Stdnts,# of CTE Teachers,# of CTE Teachers / 1000 Stdnts,# of Special Education Teachers,# of Special Educuaction Teachers per 1000 Stdnts,# of Teacher Aides,# of Teacher Aides per 1000 Stdnts,# of Gifted Intervention Specialists,# of Gifted Teachers / 1000 Stdnts,# of Fine Arts Teachers,# of Fine Arts Teachers per 1000 Stdnts,# of Music Teachers,# of Music Teachers /per1000 Stdnts,# of Physical Education Teachers,# of Phys Ed Teachers per 1000 Stdnts,ESL Teachers,# of ESL Teachers per 1000 Stdnts,# of Adaptive Phys Ed Teachers,# of Adaptive PE Teachers per 1000 Stdnts,# of Speech Language Pathologists,# of Speech Language Pathologists per 1000 Stdnts,% of Teachers  Evaluated as  Ineffective,% of Teachers  Evaluated as  Developing,% of Teachers  Evaluated as Skilled,% of Teachers  Evaluated as  Accomplished,% of Teachers  Evaluations Not Completed,% of Principals Evalulated as  Ineffective,% of Principals Evalulated as Developing,% of Principals Evalulated as Skilled,% of Principals Evalulated as Accomplished,% of Principals Evalulations Not Completed
Olentangy Local,207924207.35999998,Delaware,94.7,68035.0,11.0,33.0,1192.0,1186.0,99.5,901.0,75.6,5482.0,5476.0,99.9,5476.0,99.9,0.0,0.0,1.0,0.88,45.5,2.30773687,7.0,0.35503644,0.0,0.0,0.0,0.0,31.0,1.57230424,0.0,0.0,0.0,0.0,0.0,0.0,956.24,48.5000067,10.0,0.50719491,95.05,4.82088768,221.75,11.2470472,27.0,1.36942627,42.02,2.13123304,43.36,2.19919716,43.73,2.21796337,0.0,0.0,1.0,0.05071949,0.0,0.0,0.0,0.00086132,0.14125753,0.85443583,0.0034453,0.0,0.0,0.02325581,0.97674418,0.0
Pickerington Local,112321805.42,Fairfield,93.6,69875.0,13.0,4.0,544.0,543.0,99.8,416.0,76.6,2051.0,2013.0,98.1,2010.0,99.8,0.0,0.0,1.0,1.0,22.0,2.1996433,13.0,1.29978922,6.0,0.59990271,0.0,0.0,12.7,1.26979408,0.0,0.0,0.0,0.0,1.0,0.09998378,400.52,40.0455061,2.9,0.28995298,104.13,10.4113116,65.16,6.51494352,10.22,1.02183429,13.0,1.29978922,10.19,1.01883478,15.0,1.49975679,5.0,0.49991893,0.0,0.0,11.61,1.16081176,0.0,0.00561797,0.47003745,0.51872659,0.00561797,0.0,0.03333333,0.76666666,0.2,0.0
Canal Winchester Local,39309232.56,Franklin,94.0,55513.0,12.0,6.0,238.0,238.0,100.0,162.0,68.2,911.0,906.0,99.5,900.0,98.8,0.0,0.0,1.0,1.0,8.0,2.20404352,6.0,1.65303264,0.0,0.0,0.0,0.0,7.0,1.92853808,0.0,0.0,1.0,0.27550544,1.0,0.27550544,166.83,45.9625726,4.57,1.25905986,47.78,13.1636499,0.0,0.0,2.0,0.55101088,11.0,3.03055984,7.0,1.92853808,9.0,2.47954896,0.0,0.0,0.0,0.0,2.0,0.55101088,0.0,0.01826484,0.56164383,0.40182648,0.01826484,0.0,0.0,1.0,0.0,0.0
Groveport Madison Local,66555206.47,Franklin,93.3,57640.0,9.0,2.0,372.0,370.0,99.5,183.0,49.3,1895.0,1892.0,99.8,1874.0,98.9,0.0,0.0,1.0,0.93,19.0,3.34564579,9.5,1.67282289,9.1,1.60238824,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.23260634,0.0,0.0,242.4,42.6833968,0.0,0.0,95.8,16.8690982,70.0,12.3260634,6.7,1.17978035,16.0,2.81738593,14.0,2.46521269,2.0,0.35217324,6.0,1.05651972,0.88,0.15495622,7.31,1.28719319,0.0,0.01939058,0.40166205,0.56786703,0.01108033,0.0,0.0,0.59090909,0.4090909,0.0
New Albany-Plain Local,55056240.19,Franklin,93.9,71490.0,15.0,14.0,276.0,274.0,99.3,198.0,71.6,1196.0,1195.0,99.9,1195.0,99.9,0.0,0.0,1.0,1.0,8.8,1.88034319,7.93,1.69444562,5.0,1.06837681,0.0,0.0,6.79,1.45085571,0.0,0.0,3.93,0.83974417,0.0,0.0,206.61,44.1474667,0.0,0.0,22.59,4.82692644,5.81,1.24145385,0.0,0.0,12.6,2.69230957,12.85,2.74572841,9.8,2.09401855,2.0,0.42735072,0.0,0.0,5.32,1.13675293,0.0034965,0.0,0.11888111,0.87762237,0.0,0.0,0.0,0.2,0.8,0.0
Reynoldsburg City,66087728.269999996,Franklin,96.0,59462.0,9.0,11.0,328.0,328.0,100.0,213.0,64.7,1470.0,1439.0,97.9,1420.0,96.6,0.0,0.0,1.0,1.0,7.0,1.03376168,5.31,0.78418207,8.0,1.18144192,0.0,0.0,8.67,1.28038768,0.0,0.0,0.5,0.07384012,0.0,0.0,250.63,37.0130985,1.0,0.14768024,50.08,7.39582642,0.0,0.0,3.0,0.44304072,10.0,1.4768024,10.0,1.4768024,5.5,0.81224132,7.0,1.03376168,0.0,0.0,11.4,1.68355473,0.0,0.09116809,0.65242165,0.23931623,0.01709401,0.0,0.0,0.68,0.16,0.16
Hilliard City,183974260.75,Franklin,94.5,75842.0,16.0,30.0,894.0,894.0,100.0,580.0,64.9,4879.0,4859.0,99.6,4693.0,96.2,0.0,0.0,1.0,0.84,31.0,1.98310433,9.5,0.60772552,14.95,0.95636805,0.0,0.0,35.5,2.27097431,0.0,0.0,14.07,0.90007348,0.0,0.0,678.59,43.4101538,9.0,0.57573996,112.23,7.1794774,137.84,8.81777746,13.16,0.84185977,38.53,2.46480677,44.52,2.8479937,34.54,2.20956205,11.0,0.70368218,2.3,0.14713354,14.45,0.9243825,0.0,0.00095969,0.08637236,0.89539347,0.01727447,0.0,0.0,0.0,1.0,0.0
Dublin City,194985705.58999997,Franklin,93.4,77439.0,11.0,43.0,942.0,928.0,98.5,662.0,70.3,5123.0,5031.0,98.2,5021.0,99.8,0.0,0.0,0.79,0.71,44.0,2.90502702,35.3,2.33062395,19.3,1.27425048,0.0,0.0,39.0,2.57491031,0.0,0.0,14.6,0.96394078,2.0,0.13204668,700.5,46.2493506,4.0,0.26409336,97.0,6.40426411,54.0,3.56526043,15.0,0.99035012,36.5,2.40985196,35.0,2.31081694,30.0,1.98070024,31.5,2.07973525,4.9,0.32351437,19.9,1.31386449,0.0,0.00718685,0.40246406,0.59034907,0.0,0.0,0.05714285,0.91428571,0.0,0.02857142
Johnstown-Monroe Local,14273438.93,Licking,94.9,51104.0,11.0,0.0,101.0,101.0,100.0,76.0,74.8,533.0,532.0,99.8,532.0,99.8,0.0,0.0,1.0,0.86,2.0,1.32972986,1.0,0.66486493,1.0,0.66486493,0.0,0.0,6.0,3.98918958,0.0,0.0,0.13,0.08643244,0.0,0.0,73.0,48.5351399,3.0,1.99459479,9.26,6.15664925,4.0,2.65945972,1.2,0.79783791,2.0,1.32972986,3.0,1.99459479,3.5,2.32702725,0.0,0.0,0.0,0.0,1.0,0.66486493,0.0,0.07920792,0.68316831,0.23762376,0.0,0.0,0.0,0.75,0.25,0.0
Licking Heights Local,38173728.57,Licking,94.3,51370.0,10.0,4.0,231.0,231.0,99.9,147.0,63.8,1388.0,1388.0,100.0,1388.0,100.0,0.0,0.0,1.0,1.0,5.0,1.20659057,1.0,0.24131811,0.0,0.0,0.0,0.0,4.68,1.12936877,0.0,0.0,0.0,0.0,0.0,0.0,179.39,43.2900564,1.0,0.24131811,34.81,8.40028354,0.0,0.0,3.5,0.84461339,13.68,3.3012318,11.0,2.65449925,12.09,2.91753599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28744939,0.63967611,0.06882591,0.00404858,0.0,0.88888888,0.0,0.0,0.11111111
